Chennai,Gate 1 · TP Permission,0.043,Yuvraj Yadav,Yuvraj Yadav,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),MoU sign-off on hold due to Tamil Nadu election; Addl CP indicates it will be sorted soon.,,Challan Billboard
Kochi,Outreach,0,Yuvraj Yadav,Yuvraj Yadav,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),Initial response from Dy Commissioner (L&O); demo meeting expected in ~10 days.,,Challan Billboard
Delhi,Outreach,0.043,Yuvraj Yadav,Yuvraj Yadav,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),Trying to reach Addl CP Vijayanta Arya & Dinesh Kumar Gupta; awaiting response.,,Challan Billboard
Mohali,Outreach,0,Yuvraj Yadav,Mohit Yadav,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),Trying to set up meeting with officials next week.,,Challan Billboard
Noida,Backlog,0,Yuvraj Yadav,Mohit Yadav,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),Backlog — not yet initiated.,,Challan Billboard
Lucknow,Backlog,0,Deepanshu Gupta,Yuvraj Yadav,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),Backlog — not yet initiated.,,Challan Billboard
Faridabad,Backlog,0,Yuvraj Yadav,Mohit Yadav,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),Backlog — not yet initiated.,,Challan Billboard
Rajkot,Backlog,0,Yuvraj Yadav,Yuvraj Yadav,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),Backlog — not yet initiated.,,Challan Billboard
,,,,,Traffic Police Permission,,,Municipal Corporation Permission,,,3 · Designing,,,,,4 · Procurement,,,5 · Installation,,,Last update,Remarks,Expected Go Live Date,Road Safety Signages,,,,,,
City,Current Phase,Progress,Permission POC,Vendor POC,Meeting Done,MoU Sent,MoU Signed,Meeting Done,Application Sent,Signed,Design Drafted,Design Approved by Dept,Vendor Recce Done,Recce Images Received,Sampling Done,PR Raised,PO Released,Advance Released,Production Done,Boards Installed,Live,,,,Road Safety Signages,,,,,,
Gurgaon,Live,1,Yuvraj Yadav,Mohit Yadav,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Done,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),"100 boards live (55 No Parking, 36 Stay-in-Lane; 9 removed by NHAI/MCG). Logo capped ~10% (MCG 0.2 sqm). Next round via GMDA MoU.",,Road Safety Signages,,,,,,
Ahmedabad,Gate 2 · Municipal Permission,0.118,Yuvraj Yadav,Mohit Yadav,Done,Pending,Pending,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),AMC (Kamlesh Damor) positive; awaiting finalised blackspot list. ~120 boards already installed by them.,,Road Safety Signages,,,,,,
Surat,Gate 1 · TP Permission,0.118,Yuvraj Yadav,Mohit Yadav,Done,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),Signage proposal sent; MoU expected in ~10 days.,,Road Safety Signages,,,,,,
Delhi,Gate 1 · TP Permission,0.118,Yuvraj Yadav,Mohit Yadav,Done,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),Meeting with Addl CP Vijayanta Arya done; proposal sent.,,Road Safety Signages,,,,,,
Ghaziabad,Gate 1 · TP Permission,0.059,Yuvraj Yadav,Mohit Yadav,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),Intro meeting with Addl CP / ADCP done; final meeting next week.,,Road Safety Signages,,,,,,
Jaipur,Gate 1 · TP Permission,0.118,Yuvraj Yadav,Mohit Yadav,Done,Pending,Pending,Pending,Pending,Pending,Done,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Thu Jun 04 2026 12:30:00 GMT+0530 (India Standard Time),"Signage proposal initiated 3 Jun, after billboard testing with traffic police.",,Road Safety Signages,,,,,,
